"CID","HBondDonorCount","HBondAcceptorCount","XLogP","TPSA"
6435500,0,7,6.100,59.3
6436029,0,2,6.0,26.3
6436449,1,3,3.1,50.9
6436604,1,3,3.6,50.9
6436606,0,12,6.800,85.6
6436633,0,2,5.300,26.3
6436680,0,2,7.5,26.3
6437401,0,2,4.3,26.3
6437842,1,3,3.9,50.9
6440554,0,7,6.100,59.3
6440556,0,7,6.100,59.3
6440557,0,7,6.100,59.3
6440728,1,3,4.2,50.9
6440779,0,2,7.5,26.3
6442842,0,5,6.000,26.3
6450826,0,2,3.5,29.5
6451057,0,5,4.6,54.0
6451139,1,5,4.9,56.3
6451142,2,2,2.7,80.0
6451155,0,4,3.5,47.9
6451159,1,6,4.6,38.3
6455379,0,4,6.000,59.3
6537961,1,3,3.1,50.9
6537963,2,6,6.100,79.8
6540498,1,3,3.200,50.9
6914821,2,3,3.7,67.4
7057995,3,6,1.000,88.4
7082413,0,2,1.0,38.4
9568069,0,6,1.000,98.5
9570071,1,4,1.100,76.0
9570290,0,6,4.400,95.9
9571009,1,5,-0.1,93.2
9576037,1,4,0.0,70.0
9576091,0,8,3.400,122.0
9576412,0,6,4.9,74.9
9578570,0,9,4.9,69.5
9595287,1,5,-0.500,96.3
9601227,0,9,1.700,160.0
9796266,1,4,4.0,94.0
9809914,0,4,8.000,59.3
9827529,2,10,6.2,86.5
9828343,2,7,3.100,94.4
9834513,1,6,0.8,65.8
9862076,0,5,2.6,87.4
9869793,4,6,4.8,107.0
9881821,1,2,"",57.3
9907412,0,4,5.1,52.6
9930667,1,8,3.7,104.0
9948894,0,7,3.0,95.8
9954185,0,10,4.1,79.8
9955886,2,12,2.2,150.0
9969573,1,5,3.2,73.9
10085783,1,4,"",50.9
10110536,1,3,4.7,56.2
10140464,0,5,8.300,27.7
10157484,1,3,5.0,58.6
10219853,0,7,"",92.3
10234702,3,14,4.1,162.0
10238657,0,8,2.4,124.0
10313079,1,1,"",3.2
10342051,0,4,6.200,59.3
10403199,1,4,4.1,70.0
10915750,1,7,3.9,88.4
10935908,1,3,3.3,47.6
10936292,1,4,3.9,59.9
10938769,0,5,6.000,26.3
10958189,2,3,3.7,67.4
11046097,0,3,4.100,46.7
11048796,0,10,5.1,96.6
11057771,0,3,3.7,41.9
11067463,0,4,3.2,43.2
11091168,3,9,1.6,160.0
11097730,2,3,2.800,66.4
11136686,3,14,4.1,162.0
11140605,0,2,3.100,29.5
11150163,0,4,1.600,55.8
11158353,1,8,4.5,42.0
11159021,1,5,4.4,42.0
11174640,2,6,3.3,134.0
11188745,1,9,2.0,85.7
11193251,2,11,5.3,101.0
11205153,1,9,1.2,171.0
11236201,0,5,4.4,102.0
11264867,0,2,5.0,26.3
11271640,2,4,4.8,88.9
11285653,0,8,3.6,57.6
11292824,1,4,3.9,56.8
11302979,1,7,0.9,114.0
11338509,2,5,3.400,93.7
11348992,0,3,3.8,47.4
11350631,0,9,5.4,26.3
11388558,1,6,4.0,75.2
11407474,2,11,1.8,128.0
11419598,3,9,0.5,177.0
11434448,1,5,4.7,46.9
11486133,1,9,2.5,116.0
11488729,0,7,7.1,40.6
11493665,1,4,3.8,91.9
11496052,0,8,5.5,76.4
11496886,3,9,1.900,169.0
11520759,4,12,0.3,220.0
11534837,0,9,5.4,26.3
11549937,3,14,4.1,162.0
11556910,0,11,2.1,91.2
11556911,0,9,2.2,103.0
11571392,1,10,2.100,116.0
11571555,1,13,1.7,138.0
11578610,2,5,3.9,113.0
11585730,2,11,5.2,142.0
11614934,2,10,6.2,86.5
11636326,0,6,5.000,64.8
11650986,4,16,"",199.0
11657899,2,13,3.1,132.0
11664966,0,9,4.9,69.5
11674113,1,3,4.4,46.9
11688533,1,4,3.5,46.9
11693711,1,8,2.0,91.9
11700495,1,10,1.6,107.0
11707647,2,5,2.1,110.0
11714234,0,5,4.7,55.8
11759286,0,4,3.2,43.2
11784975,1,14,2.9,125.0
11842644,1,11,3.1,65.5
11949285,1,6,3.400,81.8
11990852,2,9,2.7,158.0
12056760,0,11,"",115.0
12310947,0,0,4.5,0.0
12313523,1,1,2.3,32.3
12358480,0,1,3.7,12.5
12358497,0,1,3.7,12.5
12573513,0,4,2.400,44.8
12617362,0,4,6.000,59.3
12617363,0,4,6.000,59.3
12617364,0,4,6.000,59.3
12617365,0,4,6.000,59.3
12891182,0,6,"",109.0
13013865,0,2,3.400,29.5
13039062,4,6,4.8,107.0
13072122,0,2,6.2,26.3
13218777,1,3,4.5,74.7
13229577,0,2,5.5,26.3
13307026,4,8,"",181.0
13389335,1,6,"",95.8
13633097,0,3,2.6,57.8
14371531,2,5,0.2,91.7
15056663,0,2,3.2,29.5
15096494,0,2,8.9,26.3
15215907,2,3,3.7,67.4
15558638,0,3,4.800,43.4
15604010,1,4,4.6,69.1
15825719,6,10,"",94.6
16095400,1,7,3.7,46.9
16211101,4,5,"",98.6
16212118,2,3,3.7,67.4
16212969,0,10,6.4,65.6
16213016,0,8,4.600,92.1
16656802,1,6,3.300,74.4
16682746,0,1,"",9.2
16682804,0,2,"",26.3
16683004,0,1,"",9.2
16693908,0,7,"",0.0
16722118,0,9,5.4,26.3
16723172,0,7,2.2,74.5
16752772,0,6,2.3,42.4
17988638,1,9,2.5,116.0
18772482,0,4,5.400,67.9
18772487,0,5,1.3,94.2
19758701,0,6,"",126.0
19977704,4,5,"",102.0
20056430,2,10,6.2,86.5
20056433,0,3,3.6,43.4
20593234,3,6,2.8,120.0
21873022,2,8,"",136.0
21896651,29,47,-21.4,808.0
21954885,3,5,"",108.0
22833361,0,8,"",103.0
22883840,0,4,8.000,59.3
23082663,0,6,3.8,66.9
23615703,3,6,"",84.8
23664719,1,3,"",60.4
23665571,0,2,"",40.1
23665759,0,2,"",40.1
23665760,0,1,"",23.1
23668198,0,6,"",93.5
23676745,0,2,"",40.1
23682187,0,7,"",110.0
24822142,2,4,6.3,88.9
24860538,0,0,4.5,0.0
24864132,0,2,1.0,38.4
25113606,0,2,"",0.0
25271089,1,4,4.0,46.9
29934831,0,5,6.000,26.3
44146693,2,6,3.2,76.7
44151818,0,9,5.6,86.9
44473182,0,10,2.4,141.0
45356890,1,3,4.5,74.7
45358380,0,7,6.100,59.3
46173707,11,16,-5.8,269.0
46174049,0,1,3.7,12.5
46893156,3,14,4.1,162.0
46944253,1,8,4.6,98.2
51039126,1,12,4.4,166.0
53249225,1,2,"",33.1
53297383,1,3,3.200,50.9
53297414,0,11,5.9,111.0
53341374,1,13,7.7,49.4
53491464,1,4,4.0,46.9
53627428,0,9,4.9,69.5
54589430,2,10,2.8,142.0
54598431,1,4,"",69.1
54670067,4,6,-1.600,107.0
54675779,7,10,-1.600,202.0
54676884,1,3,6.9,46.5
54678486,1,4,2.700,63.6
54678504,1,3,4.1,46.5
54680085,2,4,6.100,66.8
54680676,1,3,7.6,46.5
54682651,1,4,3.300,63.6
54689800,1,5,1.800,76.7
54698175,1,7,7.7,55.8
56608859,0,5,6.200,59.3
56840841,0,4,"",71.9
56933411,0,5,4.7,47.4
56945144,1,8,3.2,116.0
56945145,0,11,4.4,101.0
57006186,0,4,6.000,59.3
57343740,1,5,3.9,46.9
57414497,0,7,2.9,72.2
57507888,3,14,4.1,162.0
59558935,0,6,5.000,64.8
59988032,0,6,5.000,64.8
60006000,1,9,2.5,116.0
60202781,0,8,"",113.0
66553206,0,5,4.6,38.1
68289416,1,6,4.1,42.4
70495450,1,7,4.9,74.4
70652048,1,4,3.8,46.9
71230671,1,7,4.0,60.2
71310221,0,8,"",113.0
71312306,0,1,3.7,12.5
71463595,0,6,2.9,93.1
71593923,0,5,6.000,26.3
71657865,1,4,4.7,83.6
72980153,1,9,2.5,116.0
73995022,37,61,-7.1,1110.0
76007601,0,8,"",113.0
76957227,20,40,"",902.0
76959035,2,3,3.7,67.4
86287518,1,4,1.2,86.3
86287519,2,5,1.3,123.0
86287521,1,7,3.300,134.0
86289068,0,6,"",109.0
86572672,0,2,1.0,38.4
86739665,0,5,6.000,26.3
89881183,0,5,4.6,75.3
89968867,0,4,1.6,63.9
90169437,0,13,4.4,153.0
90478478,4,17,"",167.0
101260859,0,1,3.7,12.5
101611446,0,0,4.5,0.0
101678929,3,14,4.1,162.0
101815861,2,5,"",59.5
101815863,2,5,"",59.5
102004933,3,6,0.200,104.0
102515299,4,6,4.8,107.0
118701038,0,0,4.5,0.0
121463656,1,9,4.6,104.0
121494065,0,5,"",77.9
122715527,0,2,4.3,26.3
123670820,0,4,3.2,43.2
124708617,0,2,1.0,38.4
129316835,0,2,1.0,38.4
135398658,6,10,-1.1,209.0
135424353,1,2,1.5,44.7
135424354,2,2,1.7,53.5
135438605,1,5,3.2,84.2
135491728,1,5,3.8,84.2
135491830,1,5,3.6,84.2
135492483,1,4,4.1,58.9
135499147,1,5,3.2,84.2
135503327,1,5,3.6,84.2
135515530,1,8,5.0,50.7
135529435,2,5,1.3,123.0
135565117,1,6,5.6,93.4
135571111,1,6,3.2,85.2
135585373,1,5,2.6,68.1
135616186,1,5,3.2,84.2
135618618,1,6,5.6,93.4
135779804,2,5,1.3,123.0
135846942,1,5,3.6,84.2
136257761,2,5,1.3,123.0
136737979,1,5,3.6,84.2
137195227,1,6,5.6,93.4
146158032,2,5,1.3,123.0
154734794,21,33,-13.6,536.0
