"CID","HBondDonorCount","HBondAcceptorCount","XLogP","TPSA"
14994,1,5,3.400,112.0
15115,0,6,2.5,133.0
15331,2,4,-3.1,69.6
15530,1,2,2.000,44.0
15531,1,2,3.500,44.0
15546,1,3,0.800,58.7
15553,1,3,2.3,50.2
15583,0,0,4.4,0.0
15629,1,2,2.300,41.6
15666,1,2,"",25.8
15787,0,3,4.300,55.0
15910,0,2,2.900,47.6
15939,0,0,1.7,7.8
15951,1,5,3.300,53.9
15965,2,4,2.2,76.2
16003,0,2,3.800,45.6
16007,2,3,1.600,82.3
16073,1,2,3.100,38.3
16115,1,2,3.500,41.6
16116,2,1,3.300,41.1
16181,0,2,4.200,45.6
16248,1,3,2.900,63.6
16315,0,3,2.6,75.9
16422,0,4,5.200,59.8
16554,1,1,2.4,32.3
16556,1,1,2.3,32.3
16559,1,2,1.7,49.4
16562,1,4,2.400,32.3
16653,0,2,3.200,45.6
16685,0,1,6.5,25.3
16686,0,0,6.3,0.0
16769,0,4,2.400,44.8
16774,1,5,2.5,105.0
16826,1,1,4.300,29.1
16945,0,0,5.300,0.0
17038,0,3,3.800,62.7
17109,0,5,3.1,93.4
17110,3,3,"",102.0
17169,2,3,2.6,57.5
17345,0,6,1.500,113.0
17432,0,4,2.500,63.2
17434,0,7,2.4,123.0
17435,0,6,3.700,102.0
17516,1,2,3.100,38.3
17517,1,2,2.300,38.3
17531,0,7,3.400,121.0
17581,0,2,3.100,18.5
17607,0,4,0.7,42.5
17748,1,3,2.100,60.2
17947,0,2,4.100,26.3
18290,1,2,2.400,41.6
18743,0,0,1.1,0.0
18771,0,6,2.800,132.0
18996,0,3,4.700,29.5
19167,0,6,"",182.0
19395,0,7,3.9,110.0
19402,0,3,4.300,51.2
19518,1,3,"",69.2
19588,1,2,2.800,38.3
19649,12,15,-8.0,336.0
19662,1,4,2.1,82.9
19756,1,2,2.2,41.8
19999,0,4,"",80.3
20226,1,4,3.6,63.6
20848,0,7,3.700,137.0
20965,0,4,6.100,59.8
21207,0,5,3.500,87.9
21307,1,3,2.100,63.6
21330,1,4,0.700,80.8
21803,0,5,4.300,72.7
21929,1,5,3.300,63.0
21954,2,2,-0.800,58.2
22094,1,3,4.7,46.5
22188,1,2,1.900,49.4
22206,2,5,3.100,62.7
22772,0,4,1.7,98.2
23256,1,3,1.4,74.5
23421,1,4,0.500,56.8
23558,0,1,"",0.0
23715,1,1,3.800,29.1
23717,0,5,3.900,70.1
24393,0,4,"",88.6
24404,0,0,-0.1,0.0
24456,0,8,"",173.0
24470,0,3,"",62.9
24482,2,4,"",92.6
24540,3,4,"",85.4
24563,0,0,"",0.0
24685,1,2,2.600,38.3
24743,2,4,3.400,76.7
24744,2,4,3.600,76.7
24781,1,2,0.1,38.3
24798,0,6,"",126.0
24823,0,2,-1.7,41.1
24833,0,4,"",88.6
24850,0,12,"",266.0
24861,0,4,"",86.2
24870,0,1,1.4,18.1
24874,1,1,0.6,26.0
24877,0,21,"",407.0
24883,0,0,1.7,0.0
25146,0,6,3.8,113.0
25429,2,3,1.500,67.0
25572,1,4,1.6,55.2
25670,0,5,4.500,101.0
25912,1,2,3.100,41.6
26033,0,8,3.1,116.0
26049,0,0,2.8,0.0
26124,0,6,4.400,85.6
26229,1,3,2.200,46.5
26576,1,3,2.400,50.8
26597,0,6,5.5,44.1
26694,1,2,3.300,37.3
26710,0,6,"",109.0
26927,0,6,4.400,95.9
27159,2,5,0.0,140.0
27189,0,2,3.400,29.5
27195,1,1,2.800,29.1
27295,0,8,3.700,101.0
27375,1,1,2.400,32.3
27689,2,3,1.600,67.4
27760,0,2,0.6,30.7
27982,2,3,-1.0,57.5
28127,0,7,"",0.0
28169,0,2,4.8,26.3
28292,0,4,3.8,76.9
28299,0,7,"",0.0
